[0]                            Vertices:   ID | Target Rank | Position  | Neighbor Edges
[0]                                       117 |           0 |         12 |         47 |                    0 | 207 208
[0]                                       118 |           0 |         12 |         48 |                    1 | 207
[0]                                       119 |           0 |         12 |         50 |                    1 | 208
[0]                                       120 |           0 |         13 |         14 |                    0 | 174 203
[0]                                       121 |           0 |         13 |         46 |                    1 | 209
[0]                                       122 |           0 |         13 |         48 |                    1 | 209
[0]                                       123 |           0 |         14 |         41 |                    1 | 210
[0]                                       124 |           0 |         14 |         43 |                    1 | 210
[0]                                       125 |           0 |         15 |         16 |                    0 | 177 198
[0]                                       126 |           0 |         15 |         39 |                    1 | 211
[0]                                       127 |           0 |         15 |         40 |                    1 | 211
[0]                                       128 |           0 |         16 |         34 |                    1 | 212
[0]                                       129 |           0 |         16 |         35 |                    1 | 212
[0]                                       130 |           0 |         17 |         18 |                    0 | 189 204
[0]                                       131 |           0 |         17 |         49 |                    1 | 213
[0]                                       132 |           0 |         17 |         50 |                    1 | 213
[0]                                       133 |           0 |         18 |         44 |                    1 | 214
[0]                                       134 |           0 |         18 |         45 |                    1 | 214
[0]                                       135 |           0 |         19 |         20 |                    0 | 171 215
[0]                                       136 |           0 |         19 |         21 |                    0 | 180 215
[0]                                       137 |           0 |         20 |         21 |                    0 | 178 215
[0]                                       138 |           0 |         22 |         23 |                    0 | 173 216
[0]                                       139 |           0 |         22 |         24 |                    0 | 190 216
[0]                                       140 |           0 |         23 |         24 |                    0 | 183 216
[0]                                       141 |           0 |         25 |         26 |                    0 | 175 217
[0]                                       142 |           0 |         25 |         27 |                    0 | 184 217
[0]                                       143 |           0 |         26 |         27 |                    0 | 179 217
[0]                                       144 |           0 |         28 |         29 |                    0 | 192 218
[0]                                       145 |           0 |         28 |         30 |                    0 | 191 218
[0]                                       146 |           0 |         29 |         30 |                    0 | 176 218
[0]                                       147 |           0 |         31 |         32 |                    0 | 197 219
[0]                                       148 |           0 |         31 |         33 |                    0 | 181 219
