1.2278125000e+00, -1.0057125638e+00, -1.0047300883e+00
1.2356250000e+00, -1.0018355543e+00, -1.0014242855e+00
1.2512500000e+00, -9.7601401539e-01, -9.7633636016e-01
1.2668750000e+00, -9.3337997846e-01, -9.3402511784e-01
1.2825000000e+00, -8.8036239148e-01, -8.8120087346e-01
1.2981250000e+00, -8.2168860642e-01, -8.2266355806e-01
1.3137500000e+00, -7.6072706711e-01, -7.6180107226e-01
1.3293750000e+00, -6.9981883775e-01, -7.0096102744e-01
1.3450000000e+00, -6.4054418472e-01, -6.4172797518e-01
1.3606250000e+00, -5.8392647346e-01, -5.8513000940e-01
1.3762500000e+00, -5.3058658091e-01, -5.3179254546e-01
1.3918750000e+00, -4.8085829688e-01, -4.8205256969e-01
1.4075000000e+00, -4.3487165963e-01, -4.3604329994e-01
1.4231250000e+00, -3.9261594055e-01, -3.9375670011e-01
1.4387500000e+00, -3.5398563176e-01, -3.5508942701e-01
1.4543750000e+00, -3.1881378163e-01, -3.1987639489e-01
1.4700000000e+00, -2.8689646367e-01, -2.8791509860e-01
1.4856250000e+00, -2.5801003147e-01, -2.5898305452e-01
1.5012500000e+00, -2.3192343018e-01, -2.3285013026e-01
1.5168750000e+00, -2.0840673721e-01, -2.0928709273e-01
1.5325000000e+00, -1.8723686742e-01, -1.8807137214e-01
1.5481250000e+00, -1.6820125445e-01, -1.6899078910e-01
1.5637500000e+00, -1.5110005693e-01, -1.5184580395e-01
1.5793750000e+00, -1.3574736099e-01, -1.3645070558e-01
1.5950000000e+00, -1.2197157358e-01, -1.2263405005e-01
1.6106250000e+00, -1.0961532971e-01, -1.1023857925e-01
1.6262500000e+00, -9.8535068505e-02, -9.9120789110e-02
1.6418750000e+00, -8.8600352997e-02, -8.9150271675e-02
1.6575000000e+00, -7.9693079229e-02, -8.0208921283e-02
1.6731250000e+00, -7.1706589999e-02, -7.2190069589e-02
1.6887500000e+00, -6.4544809169e-02, -6.4997595336e-02
1.7043750000e+00, -5.8121326833e-02, -5.8545040604e-02
1.7200000000e+00, -5.2358503481e-02, -5.2754754926e-02
1.7356250000e+00, -4.7186791565e-02, -4.7557081037e-02
1.7512500000e+00, -4.2543807500e-02, -4.2889590476e-02
1.7668750000e+00, -3.8373679978e-02, -3.8696373298e-02
1.7825000000e+00, -3.4626460822e-02, -3.4927383315e-02
1.7981250000e+00, -3.1257386515e-02, -3.1537838365e-02
1.8137500000e+00, -2.8226487552e-02, -2.8487673775e-02
1.8293750000e+00, -2.5497960687e-02, -2.5741046341e-02
1.8450000000e+00, -2.3039854625e-02, -2.3265885668e-02
1.8606250000e+00, -2.0823583544e-02, -2.1033489420e-02
1.8762500000e+00, -1.8823462539e-02, -1.9018158993e-02
1.8918750000e+00, -1.7016454330e-02, -1.7196872112e-02
1.9075000000e+00, -1.5381989831e-02, -1.5548989015e-02
1.9231250000e+00, -1.3901576269e-02, -1.4055989018e-02
1.9387500000e+00, -1.2558674976e-02, -1.2701234480e-02
1.9543750000e+00, -1.1338408249e-02, -1.1469759396e-02
1.9700000000e+00, -1.0227379031e-02, -1.0348080056e-02
1.9856250000e+00, -9.2135078140e-03, -9.3240254357e-03
2.0012500000e+00, -8.2857846304e-03, -8.3865851847e-03
2.0168750000e+00, -7.4341420812e-03, -7.5257732911e-03
2.0325000000e+00, -6.6495381479e-03, -6.7325056636e-03
2.0481250000e+00, -5.9237055444e-03, -5.9984900649e-03
2.0637500000e+00, -5.2494098121e-03, -5.3161269754e-03
2.0793750000e+00, -4.6193844049e-03, -4.6784201158e-03
2.0950000000e+00, -4.0270169360e-03, -4.0788954842e-03
2.1106250000e+00, -3.4662689829e-03, -3.5115278837e-03
2.1262500000e+00, -2.9317693613e-03, -2.9706740213e-03
2.1418750000e+00, -2.4193336840e-03, -2.4510113553e-03
2.1575000000e+00, -1.9227870008e-03, -1.9474819525e-03
2.1731250000e+00, -1.4344634181e-03, -1.4552406928e-03
2.1887500000e+00, -9.6206048732e-04, -9.6960722985e-04
2.2043750000e+00, -4.6556230072e-04, -4.8602117106e-04
2.2121875000e+00, -2.2053944014e-04, -2.4359319123e-04
